"CustomerID","recency","n_orders","n_transactions","n_unique_products","total_spent","avg_order_value","avg_item_price","avg_items_per_order","days_as_customer","first_purchase","last_purchase","purchase_frequency_rate","R_score","F_score","M_score","RFM_score"
"12347",1.87361111111111,7,181,102,4060.4,580.057142857143,2.6528729281768,25.8571428571429,365.038194444444,2010-12-07 14:57:00,2011-12-07 15:52:00,0.0191760755628692,5,5,5,"555"
"12348",74.9840277777778,4,16,15,835.08,208.77,0.8775,4,282.752777777778,2010-12-16 19:09:00,2011-09-25 13:13:00,0.0141466337888418,2,4,3,"243"
"12349",18.1243055555556,1,72,72,1457.55,1457.55,4.2375,72,0,2011-11-21 09:51:00,2011-11-21 09:51:00,0,4,1,4,"414"
"12350",309.867361111111,1,16,16,294.4,294.4,1.58125,16,0,2011-02-02 16:01:00,2011-02-02 16:01:00,0,1,1,2,"112"
"12352",35.9256944444444,7,77,57,1385.74,197.962857142857,4.07545454545455,11,260.086111111111,2011-02-16 12:33:00,2011-11-03 14:37:00,0.0269141630442909,3,5,4,"354"
"12353",203.79375,1,4,4,89,89,6.075,4,0,2011-05-19 17:47:00,2011-05-19 17:47:00,0,1,1,1,"111"
"12354",231.985416666667,1,58,58,1079.4,1079.4,4.50379310344828,58,0,2011-04-21 13:11:00,2011-04-21 13:11:00,0,1,1,4,"114"
"12355",213.959027777778,1,13,13,459.4,459.4,4.20384615384615,13,0,2011-05-09 13:49:00,2011-05-09 13:49:00,0,1,1,3,"113"
"12356",22.1736111111111,3,56,51,2386.63,795.543333333333,3.03625,18.6666666666667,302.951388888889,2011-01-18 09:50:00,2011-11-17 08:40:00,0.0099025787965616,4,3,5,"435"
"12357",32.8631944444444,1,131,131,6207.67,6207.67,3.34862595419847,131,0,2011-11-06 16:07:00,2011-11-06 16:07:00,0,3,1,5,"315"
"12358",1.1,2,17,12,928.06,464.03,4.54176470588235,8.5,149.015277777778,2011-07-12 10:04:00,2011-12-08 10:26:00,0.0134214426186726,5,2,4,"524"
"12359",57.0020833333333,4,243,214,6195.28,1548.82,8.63090534979424,60.75,274.002777777778,2011-01-12 12:43:00,2011-10-13 12:47:00,0.0145983921493091,3,4,5,"345"
"12360",51.8944444444444,3,126,104,2302.06,767.353333333333,2.6818253968254,42,148.235416666667,2011-05-23 09:43:00,2011-10-18 15:22:00,0.0202380785068795,3,3,5,"335"
"12361",286.957638888889,1,9,9,174.9,174.9,2.03888888888889,9,0,2011-02-25 13:51:00,2011-02-25 13:51:00,0,1,1,1,"111"
"12362",2.88194444444444,10,256,200,4737.23,473.723,3.4972265625,25.6,292.215277777778,2011-02-17 10:30:00,2011-12-06 15:40:00,0.0342213455642957,5,5,5,"555"
"12363",109.105555555556,2,23,23,552,276,2.31173913043478,11.5,132.867361111111,2011-04-11 13:29:00,2011-08-22 10:18:00,0.0150526057210355,2,2,3,"223"
"12364",7.10277777777778,3,80,69,1143.3,381.1,1.275125,26.6666666666667,104.790277777778,2011-08-19 15:24:00,2011-12-02 10:22:00,0.0286286100544739,5,3,4,"534"
"12365",290.957638888889,1,21,21,320.69,320.69,2.69619047619048,21,0,2011-02-21 13:51:00,2011-02-21 13:51:00,0,1,1,2,"112"
"12367",3.83472222222222,1,10,10,150.9,150.9,1.72,10,0,2011-12-05 16:48:00,2011-12-05 16:48:00,0,5,1,1,"511"
"12370",50.9159722222222,4,163,140,3300.98,825.245,2.59803680981595,40.75,309.078472222222,2010-12-14 12:58:00,2011-10-19 14:51:00,0.0129416972047282,3,4,5,"345"
"12371",59.0881944444444,1,62,62,1527.96,1527.96,3.29161290322581,62,0,2011-10-11 10:43:00,2011-10-11 10:43:00,0,3,1,4,"314"
"12372",71.0263888888889,3,49,33,1196.04,398.68,2.14428571428571,16.3333333333333,224.976388888889,2011-02-16 12:46:00,2011-09-29 12:12:00,0.0133347326571307,2,3,4,"234"
